1 ,Building 1
2 ,Building 2
2A ,Building 2 Annexe
4 ,Law
5 ,Eustice
6 ,Nuffield Theatre
7 ,Lanchester
8 ,A B Woods Laboratory
9 ,Engineering Workshops
10 ,Building 10
12 ,Building 12
13 ,Tizard
14 ,Building 14
15 ,Wolfson/Rayleigh
17 ,R J Mitchell Wind Tunnel
19 ,ISVR
21 ,Faraday
23 ,Building 23
25 ,EScience Building
26 ,Building 26
27 ,Chemistry
28 ,Froude
29 ,Graham Hills
30 ,Synthetic Chemistry
30A ,Combinatorial Chemistry
31 ,Hartley Store
32 ,EEE Building
33 ,Estates (Maintenance)
34 ,Education
35 ,David Kiddle
37 ,George Thomas
37A ,George Thomas Building Exten
38 ,Staff Social Centre
38P ,West Library Square Marquee
39 ,Soton Stat Sci Res Institute
40 ,West Bld & Staff Social Centre
41 ,Early Years Centre
42 ,Students' Union/Refectory
44 ,Shackleton
44A ,Building 44A
45 ,Health Profs & Rehab Sciences
48 ,University Health Centre
52 ,Turner Sims Concert Hall
53 ,New Mountbatten
56 ,Mathematical Sciences Student Centre
58 ,Murray
60 ,Gower
64 ,South Gower



16 ,Building 16
46 ,Physics
54 ,Mathematics
59 ,New Zepler
67 ,Nightingale
85 ,Life Sciences
100 ,Centenary Building
36 ,Library (inc. blds 10 12 & 14)